,A,T,Tc
4.664495,710.5560952986,372.0577312357,371.3549257512
4.7,710.8739255022,371.847899276,370.909022423
4.715505,711.0396020144,372.2073362797,371.1913168935
4.764495,710.9266897812,372.0656624673,371.2668001343
4.8,710.4578252384,372.8042937764,371.2143899747
4.815505,710.5459571846,372.4251468868,371.4350727502
4.864495,710.4723108049,372.391918504,371.4869632739
4.9,710.7507481183,372.1294705382,370.8536772694
4.915505,710.679214543,372.5422907523,371.1546976629
4.964495,710.283453521,372.2027310713,371.5176204817
5.0,710.2576315917,372.65542012,371.5716438889
