,B,C
6.568,0,0.000601798357634
6.6013,0,0.000803255634631
6.6347,0.000102147823248,0.00080958530634
6.668,0,0.000569682961249
6.7013,7.36592985841776E-05,0.000583098451687
6.7347,9.72154946805325E-05,0.00066186902495
6.768,0,0.000693214515737
6.8014,1.96392017486885E-05,0.000771217132855
6.8347,2.42339578648905E-05,0.000881917282124
6.868,0,0.000700404781147
6.9014,0.000175034667316,0.000732007392977
6.9347,0,0.000819640760552
6.9681,1.4932278486797E-05,0.000619013873125
7.0014,5.44648311609668E-05,0.000585566644677
7.0347,3.00822960252893E-05,0.000754252505039
7.0681,0.000144432447845,0.000743580510815
7.1014,0,0.000657639861332
7.1348,4.52034731105628E-05,0.000778746351349
7.1681,6.74303126698414E-05,0.000722870168996
7.2014,0.000162848157717,0.000762142742714
7.2348,2.8735657439807E-05,0.000789763707211
7.2681,4.02840218058763E-05,0.000678513161956
7.3015,0,0.000742026384664
7.3348,6.08119238857078E-06,0.000797547614502
7.3681,0,0.000689135116467
7.4015,0.000175425852257,0.000784395219256
7.4348,0.000153190456864,0.00071630636016
7.4682,0,0.000756192358194
7.5015,0,0.00071626139506
7.5348,4.35174423753565E-06,0.000760014539182
7.5682,2.15097690966277E-05,0.000706236935008
7.6015,1.87524531290059E-05,0.000679767418695
7.6349,8.09259443590605E-05,0.001108211765109
7.6682,4.63130453412815E-05,0.000742609853865
7.7015,0,0.000785358024315
7.7349,6.12044200861199E-07,0.000772564006095
7.7682,0.000108865461902,0.000908237908793
7.8016,0.00018263878949,0.000824368700938
7.8349,5.06198921777802E-05,0.000931763014535
7.8682,0.000167798909909,0.000733583514591
7.9016,0.000179459951645,0.00080548138138
7.9349,0,0.000752123939744
7.9683,7.77767060338665E-05,0.000860380707894
8.0016,0,0.000670744346596
8.0349,0.000105799179717,0.000690713981935
8.0683,0.000200555470518,0.000744857925803
8.1016,3.72263541656687E-05,0.000721031981081
8.135,5.32653883744522E-05,0.000695507240003
8.1683,3.72218604082667E-05,0.000811783583709
8.2016,0.000236209518647,0.000976126174602
8.235,6.79960752268815E-05,0.000922387208992
8.2683,0,0.000838078613277
8.3017,0,0.000731171861687
8.335,0,0.000895880857373
8.3683,0,0.000803058023784
8.4017,9.39502194312674E-05,0.000694366748471
8.435,0,0.000749250855314
8.4684,0.000215262635231,0.000701458887307
8.5017,5.00365503068474E-05,0.000762157183797
8.535,0.000215721190129,0.000800109158696
8.5684,0.000108827994232,0.000785141054875
8.6017,0.000111592374971,0.000934909418652
8.6351,0.000142363632135,0.000865064105094
8.6684,0.000176499477578,0.000960793525171
8.7017,2.39179648874104E-06,0.000673138786428
8.7351,0.000239903059046,0.000743394520563
8.7684,0,0.000797022473388
8.8018,0.000104078492649,0.000734913315642
8.8351,2.90482905621558E-05,0.000726251023169
8.8684,2.8326869572661E-05,0.000741473884709
8.9018,0,0.000827271418446
8.9351,0,0.000819719136086
8.9685,9.73372897541237E-05,0.000665381329509
9.0018,0,0.000759043887404
9.0351,0,0.000808315331679
9.0685,0.000231141091437,0.000709603109148
9.1018,0,0.000952897736631
9.1352,0,0.000819028601809
9.1685,0.000194319158567,0.000932703502125
9.2018,7.52033912242624E-05,0.000798922363391
9.2352,1.65080069811985E-06,0.000821322065653
9.2685,0,0.000691121518789
9.3019,2.7838903794369E-05,0.000895274768737
